Listing_ID,Property,County,Source_Agency,Data_Source_Type,Suggested_Acquisition_Type,Suggestion_Status
DEKALB-1,Parcel 12 228 01 007,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-2,Parcel 12 228 01 021,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-3,Parcel 12 228 01 022,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-4,Parcel 12 228 01 041,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-5,Parcel 12 228 02 021,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-6,Parcel 12 228 02 025,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-7,Parcel 12 228 02 039,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-8,Parcel 12 229 01 014,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-9,Parcel 12 229 02 010,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-10,Parcel 12 229 02 023,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-11,Parcel 12 229 02 046,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-12,Parcel 12 229 02 050,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-13,Parcel 12 229 02 058,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-14,Parcel 12 229 02 059,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-15,Parcel 12 229 02 065,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-16,Parcel 12 252 02 057,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-17,Parcel 12 252 03 071,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-18,Parcel 12 229 06 028,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-19,Parcel 12 229 06 032,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-20,Parcel 12 229 06 037,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-21,Parcel 12 229 06 034,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-22,Parcel 12 229 02 084,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-23,Parcel 12 252 01 041,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-24,Parcel 12 252 01 052,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-25,Parcel 12 252 01 053,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-26,Parcel 12 252 01 065,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-27,Parcel 12 252 01 114,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-28,Parcel 12 252 01 115,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-29,Parcel 12 252 01 125,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-30,Parcel 12 229 02 071,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-31,Parcel 12 229 02 082,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-32,Parcel 12 229 04 002,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-33,Parcel 12 229 06 005,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-34,Parcel 12 229 06 006,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
DEKALB-35,Parcel 12 229 06 019,DeKalb,,GIS-Parcel,Off-Market Research,suggested_needs_review
