Listing_ID,County,Gold_Status,Readiness,Blockers
GA-031,Dougherty,near_ready,86,boundary_geojson
GA-032,Chatham,near_ready,86,boundary_geojson
GA-033,Richmond,near_ready,86,boundary_geojson
GA-034,Bibb,near_ready,86,boundary_geojson
GA-035,Clarke,near_ready,86,boundary_geojson
GA-036,Lowndes,near_ready,86,boundary_geojson
GA-037,Bartow,near_ready,86,boundary_geojson
GA-038,Spalding,near_ready,86,boundary_geojson
GA-039,Houston,near_ready,86,boundary_geojson
GA-040,Glynn,near_ready,86,boundary_geojson
GA-041,Sumter,near_ready,86,boundary_geojson
GA-042,Clarke,near_ready,86,boundary_geojson
GA-043,Chatham,near_ready,86,boundary_geojson
GA-044,Fulton,near_ready,86,boundary_geojson
GA-045,Richmond,near_ready,86,boundary_geojson
GA-046,Floyd,near_ready,86,boundary_geojson
GA-003,Fulton,near_ready,84,boundary_geojson
GA-012,Fulton,near_ready,79,boundary_geojson|price_not_numeric|overall_below_80
GA-007,DeKalb,near_ready,78,boundary_geojson|overall_below_80
GA-002,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-017,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-018,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-022,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-024,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-026,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-029,Fulton,near_ready,75,parcel_id|boundary_geojson|overall_below_80
GA-004,DeKalb,near_ready,71,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-009,Clayton,near_ready,71,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-016,Muscogee,near_ready,71,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-021,DeKalb,near_ready,71,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-001,Fulton,near_ready,70,parcel_id|boundary_geojson|overall_below_80
GA-005,DeKalb,near_ready,69,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-013,Bibb,near_ready,69,parcel_id|gis_or_assessor_link|boundary_geojson|overall_below_80
GA-014,Richmond,near_ready,69,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-015,Chatham,near_ready,69,parcel_id|boundary_geojson|price_not_numeric|overall_below_80
GA-019,DeKalb,quarantined,69,parcel_id|lat_lon|boundary_geojson|source_url|source_under_4of6|overall_below_80
GA-028,DeKalb,quarantined,69,parcel_id|lat_lon|boundary_geojson|source_url|source_under_4of6|overall_below_80
GA-047,Richmond,near_ready,64,lat_lon|boundary_geojson|human_reviewed|price_not_numeric|overall_below_80
GA-048,Richmond,near_ready,64,lat_lon|boundary_geojson|human_reviewed|price_not_numeric|overall_below_80
GA-054,Richmond,near_ready,64,lat_lon|boundary_geojson|price_not_numeric|overall_below_80
GA-055,Richmond,near_ready,64,lat_lon|boundary_geojson|price_not_numeric|overall_below_80
GA-056,Richmond,near_ready,64,lat_lon|boundary_geojson|price_not_numeric|overall_below_80
GA-057,Richmond,near_ready,64,lat_lon|boundary_geojson|price_not_numeric|overall_below_80
GA-008,Clayton,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-010,Cobb,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-011,Gwinnett,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-020,Fulton,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-023,Fulton,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-025,Clayton,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-030,Fulton,quarantined,63,parcel_id|lat_lon|boundary_geojson|source_url|price_not_numeric|source_under_4of6|overall_below_80
GA-006,Fulton,near_ready,60,parcel_id|lat_lon|boundary_geojson|source_under_4of6|overall_below_80
GA-027,Fulton,not_ready,59,parcel_id|lat_lon|boundary_geojson|price_not_numeric|source_under_4of6|overall_below_80
GA-053,Ware,not_ready,54,parcel_id|lat_lon|boundary_geojson|price_not_numeric|overall_below_80
GA-058,Ware,not_ready,54,parcel_id|lat_lon|boundary_geojson|price_not_numeric|overall_below_80
GA-049,Ware,not_ready,45,parcel_id|lat_lon|gis_or_assessor_link|boundary_geojson|human_reviewed|price_not_numeric|source_under_4of6|overall_below_80
GA-050,Ware,not_ready,45,parcel_id|lat_lon|gis_or_assessor_link|boundary_geojson|human_reviewed|price_not_numeric|source_under_4of6|overall_below_80
GA-051,Ware,not_ready,45,parcel_id|lat_lon|gis_or_assessor_link|boundary_geojson|human_reviewed|price_not_numeric|source_under_4of6|overall_below_80
GA-052,Ware,not_ready,45,parcel_id|lat_lon|gis_or_assessor_link|boundary_geojson|human_reviewed|price_not_numeric|source_under_4of6|overall_below_80
DEKALB-2,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-3,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-4,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-8,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-9,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-11,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-12,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-13,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-16,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-17,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-19,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-20,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-21,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-22,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-23,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-24,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-25,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-26,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-27,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
DEKALB-29,DeKalb,not_ready,38,gis_or_assessor_link|boundary_geojson|title_redemption_risk|source_url|last_checked_date|human_reviewed|source_under_4of6|overall_below_80
